TITLE,YEAR,GENRE,USER RATING,IMDB-RATING,ACTOR1,ACTOR2,ACTOR3,DIRECTOR,WRITER,NOMINATIONS
Crimes and Misdemeanors,1989,Comedy;Drama,,8,Bill Bernstein,Martin Landau,Claire Bloom,Woody Allen,Woody Allen,ACTOR IN A SUPPORTING ROLE;DIRECTING;WRITING (Screenplay Written Directly for the Screen)
Curfew,2012,Short;Drama,,7.8,Fatima Ptacek,Shawn Christensen,Kim Allen,Shawn Christensen,Shawn Christensen,SHORT FILM (Live Action)
Daens,1992,Biography;Drama;History,,7.5,Jan Decleir,Gerard Desarthe,Antje De Boeck,Stign Coninx,Louis Paul Boon,FOREIGN LANGUAGE FILM
Dangerous Moves,1984,Drama;Thriller,,6.5,Michel Piccoli,Alexandre Arbatt,Liv Ullman,Richard Dembo,Richard Dembo,FOREIGN LANGUAGE FILM
Dave,1993,Comedy;Romance,,6.7,Kevin Kline,Sigourney Weaver,Frank Langella,Ivan Reitman,Gary Ross,WRITING (Screenplay Written Directly for the Screen)
Daylight,1996,Action;Adventure;Thriller,,5.6,Sylvester Stallone,Amy Brenneman,Vigo Mortensen,Rob Cohen,Leslie Bohem,SOUND EFFECTS EDITING
Death on the Job,1991,Documentary,,5.8,,,,Vince DiPersio,Bill Guttentag,DOCUMENTARY (Feature)
Defending Our Lives,1993,Documentary;Short,,5.5,,,,Margaret Lazarus,,DOCUMENTARY (Short Subject)
Design for Death,1947,Documentary,,6.9,Kent Smith,Hans Conried,,,Dr Seuss,DOCUMENTARY (Feature)
Devil Take Us,1952,Short;Drama,,,Del Kuhn,,,Herbert Morgan,Herbert Morgan,DOCUMENTARY (Short Subject);SHORT SUBJECT (Two-reel)
Dirty Pretty Things,2003,Crime;Drama;Thriller,,7.4,Audrey Tautou,Chiwetel Ejiofor,Sergi Lopez,Stephen Frears,Steven Knight,WRITING (Original Screenplay)
Don't Talk,1942,Drama;Short,,6,Donald Douglas,Gloria Holden,Barry Nelson,Joseph M. Newman,Alan Friedman,SHORT SUBJECT (Two-reel)
Down and Out in America,1986,Documentary,,7.2,Lee Grant,Jeff Farmer,Bob Hanson,Lee Grant,,DOCUMENTARY (Feature)
Drunk Driving,1939,Drama;Short,,5.9,Dick Purcell,Jo Ann Sayers,Richard Lane,David Miller,Karl Kamb,SHORT SUBJECT (Two-reel)
Earthquake,1974,Action;Drama;Thriller,,5.7,Charlton Heston,Ava Gardner,George Kennedy,Mark Robson,George Fox,ART DIRECTION;CINEMATOGRAPHY;FILM EDITING;SOUND;SPECIAL ACHIEVEMENT AWARD (Visual Effects)
Educating Peter,1992,Documentary;Short,,7,Judy Gwazdauskas,Peter Gwazdauskas,,Gerardine Wurzburg,,DOCUMENTARY (Short Subject)
Election Night (Valgaften),1998,Short;Comedy,,7.4,Ulrich Thomsen,Jens Jorn Spottag,John Martinus,Anders Thomas Jensen,Anders Thomas Jensen,SHORT FILM (Live Action)
Enchanted April,1992,Drama,,7.1,Miranda Richardson,Alfred Molina,Joan Plowright,Mike Newell,Elizabeth von Arnim,ACTRESS IN A SUPPORTING ROLE;COSTUME DESIGN;WRITING (Screenplay Based on Material Previously Produced or Published)
Erin Brockovich,2000,Biography;Drama,,7.2,Julia Roberts,David Brisbin,Dawn Didawick,Steven Soderbergh,Susannah Grant,ACTOR IN A SUPPORTING ROLE;ACTRESS;BEST PICTURE;DIRECTING;WRITING (Screenplay Written Directly for the Screen)
Everything in This Country Must,2004,Drama;Short,,7.7,Sam Spruell,Gerry Doherty,Karly Greene,Gary McKendry,Colum McCann,SHORT FILM (Live Action)
Exploratorium,1974,Documentary;Short,,,,,,Jon Boorstin,,DOCUMENTARY (Short Subject)
